,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
187,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,11.6,0,2,1,50,0.17,0.09,0,0,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
188,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,33.9,17,105,45,42.9,3.1,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7
189,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,26,1993,10.2,0,5,1,20,0.49,0.1,0,0,8.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6
190,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,26,1993,12.7,0,8,2,25,0.63,0.16,0,0,8.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
191,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,23,1996,15.2,5,36,12,33.3,2.36,0.79,0.11,0.33,13.4,0,1,1,5.9,5.1,0.14,-0.9,-1.1
192,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,25,1994,30.7,7,43,15,34.9,1.4,0.49,0.16,0.47,15.3,1,0,0,5.8,5.8,0.13,1.2,1.2
193,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,26,1993,29.5,0,13,3,23.1,0.44,0.1,0,0,13.6,0,0,0,1,1,0.08,-1,-1
194,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,24,1996,2.8,0,2,0,0,0.72,0,0,,20,1,0,0,0.2,0.2,0.12,-0.2,-0.2
195,Barcia\Barcia,es ESP,DF,Granada,es La Liga,19,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
196,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,19,2000,4.8,0,2,1,50,0.42,0.21,0,0,16.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
197,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,25,1995,18.7,1,36,13,36.1,1.93,0.7,0.03,0.08,20.2,5,0,0,2.9,2.9,0.08,-1.9,-1.9
198,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35,1985,3,0,4,0,0,1.31,0,0,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
199,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,23,1997,32.2,3,36,9,25,1.12,0.28,0.08,0.33,20.4,0,0,0,2.6,2.6,0.07,0.4,0.4
200,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,31,1989,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
201,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,23,1997,15.9,2,22,12,54.5,1.38,0.75,0.09,0.17,16.8,0,0,0,1.8,1.8,0.08,0.2,0.2
202,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,26,1993,17,3,38,11,28.9,2.23,0.65,0.08,0.27,18.4,2,0,0,3.2,3.2,0.08,-0.2,-0.2
203,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,26,1993,0.5,0,1,1,100,2.14,2.14,0,0,28,0,0,0,0,0,0.03,0,0
204,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22,1998,10.9,2,19,6,31.6,1.75,0.55,0.11,0.33,20.4,1,0,0,1.6,1.6,0.08,0.4,0.4
205,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,30,1989,14.8,3,39,12,30.8,2.64,0.81,0.05,0.17,15.7,0,1,1,5.1,4.4,0.11,-2.1,-2.4
206,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,22,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,2.8,2.8
207,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,es La Liga,20,1999,1,0,1,1,100,1,1,0,0,23.6,0,0,0,0,0,0.02,0,0
208,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33,1987,24.8,0,5,0,0,0.2,0,0,,12.6,0,0,0,0.6,0.6,0.12,-0.6,-0.6
209,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,25,1995,0.9,0,2,1,50,2.12,1.06,0,0,14.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2
210,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,20,2000,25.6,2,32,10,31.3,1.25,0.39,0.06,0.2,16,0,0,0,3.3,3.3,0.1,-1.3,-1.3
211,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,18,2001,14.5,3,23,7,30.4,1.58,0.48,0.13,0.43,19,0,0,0,1.8,1.8,0.08,1.2,1.2
212,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,25,1994,12.3,0,2,0,0,0.16,0,0,,19.3,0,0,0,0,0,0.02,0,0
213,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,21,1998,32.5,8,90,38,42.2,2.77,1.17,0.09,0.21,20,6,0,1,8.9,8,0.09,-0.9,0
214,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29,1991,28.7,3,14,5,35.7,0.49,0.17,0.21,0.6,8.2,0,0,0,2.1,2.1,0.15,0.9,0.9
215,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,30,1989,3.6,0,4,0,0,1.13,0,0,,24.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
216,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,29,1991,18.8,0,11,4,36.4,0.58,0.21,0,0,18,0,0,0,0.4,0.4,0.04,-0.4,-0.4
217,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,28,1992,4.4,0,4,2,50,0.91,0.45,0,0,23.6,2,0,0,0.3,0.3,0.07,-0.3,-0.3
