,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
115,Yanis Ammour\Yanis-Ammour,fr FRA,FW,Montpellier,fr Ligue 1,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
116,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,25,2089,84,61.1,23.2,23,86,,2,53,4,0.52,12,41,-29,-1.25,-0.3,19.1,38.7,-19.6,-0.85,-0.11
117,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,31,2441,79,71.4,27.1,28,86,,3,11,4,1.06,33,44,-11,-0.41,-0.31,32.5,40.1,-7.6,-0.28,-0.07
118,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,23,800,35,23.4,8.9,7,73,,16,18,13,1.17,6,18,-12,-1.35,-1.01,7.8,16.9,-9.1,-1.02,-0.62
119,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,3,192,64,5.6,2.1,2,90,,1,12,3,1.33,1,2,-1,-0.47,-1.56,3.8,1.8,2,0.92,-0.17
120,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,31,2730,88,79.8,30.3,30,89,,1,59,0,0.87,22,35,-13,-0.43,1.27,33.3,40.3,-7,-0.23,0.49
121,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,25,1995,3,72,24,2.1,0.8,1,45,,2,14,13,1,0,2,-2,-2.5,-2.72,0.2,0.5,-0.3,-0.35,-0.68
122,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,17,2002,1,4,4,0.1,0,0,,,1,4,8,0,0,0,0,0,0.42,0,0.3,-0.3,-7.28,-6.94
123,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,2,3,2,0.1,0,0,,,2,2,2,0,0,0,0,0,-0.4,0.1,0.2,-0.1,-3.63,-3.78
124,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,16,1126,70,36.8,12.5,14,79,,2,10,1,0.69,14,23,-9,-0.72,-0.07,17.3,18.6,-1.3,-0.1,0.59
125,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,27,1993,0,,,,,0,,,0,,1,,,,,,,,,,,
126,Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,180,90,5.3,2,2,90,,0,,3,1.5,5,5,0,0,0.44,3.1,2.1,1,0.49,0.77
127,Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,29,1990,35,2885,82,84.4,32.1,35,82,,0,,0,2.2,47,17,30,0.94,-0.91,37.4,21.3,16.1,0.5,-0.72
128,Lluis Andreu\Lluis-Andreu,es ESP,GK,Elche,es La Liga,21,1999,0,,,,,0,,,0,,11,,,,,,,,,,,
129,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,29,2526,87,82.5,28.1,29,87,,0,,0,1.45,43,32,11,0.39,1.07,41.2,32.6,8.6,0.31,1.01
130,Victorien Angban\Victorien-Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,26,1672,64,48.9,18.6,21,76,,5,15,8,1.5,21,23,-2,-0.11,0,19.6,22,-2.3,-0.13,0.17
131,Ángel\Angel,es ESP,GK,Granada,es La Liga,18,2002,1,90,90,2.6,1,1,90,,0,,0,0,0,2,-2,-2,-1.57,0.8,2.6,-1.8,-1.77,-1.43
132,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,36,1984,0,,,,,0,,,0,,17,,,,,,,,,,,
133,Miguel Ángel Rubio\Miguel-Angel-Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,2,135,68,3.9,1.5,1,90,,1,45,9,0.5,1,3,-2,-1.33,-0.76,1.1,2.2,-1.1,-0.73,-0.36
134,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,30,1989,14,901,64,26.3,10,11,76,,3,23,5,0.64,5,18,-13,-1.3,-0.94,12.5,10.4,2.1,0.21,0.47
135,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,26,2161,83,70.6,24,24,87,,2,38,2,1.88,43,20,23,0.96,0.46,44.7,19.9,24.8,1.03,-0.11
136,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,1,5,5,0.1,0.1,0,,,1,5,5,3,0,0,0,0,-1.13,0.1,0,0.1,1.43,0.52
137,Faustino Anjorin\Faustino-Anjorin,eng ENG,MF,Chelsea,eng Premier League,18,2001,0,,,,,0,,,0,,3,,,,,,,,,,,
138,Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,29,1990,0,,,,,0,,,0,,1,,,,,,,,,,,
139,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,1,13,13,0.4,0.1,0,,,1,13,3,1,0,0,0,0,0.05,0,0.3,-0.2,-1.65,-1.48
140,Ebenezer Annan\Ebenezer-Annan,gh GHA,DF,Bologna,it Serie A,17,2002,0,,,,,0,,,0,,4,,,,,,,,,,,
141,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,31,1947,63,56.9,21.6,20,88,,11,17,3,1.03,26,38,-12,-0.55,-0.13,29.9,35.9,-6,-0.28,-0.12
142,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,31,2711,87,88.6,30.1,30,90,,1,18,1,1.29,50,52,-2,-0.07,-0.84,48,47.2,0.8,0.03,0.26
143,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,4,26,7,0.8,0.3,0,,,4,7,4,0.5,0,2,-2,-6.92,-6.58,0.8,1.3,-0.5,-1.87,-1.68
144,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,26,1974,76,57.7,21.9,24,80,,2,23,0,1.85,38,25,13,0.59,0.47,35.6,23,12.6,0.57,1
145,Mirko Antonucci\Mirko-Antonucci,it ITA,MF,Roma,it Serie A,21,1999,0,,,,,0,,,0,,3,,,,,,,,,,,
146,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,19,2000,5,232,46,6.8,2.6,2,82,,3,23,13,0.6,1,6,-5,-1.94,-1.69,2.4,6.6,-4.2,-1.62,-1.42
147,Houssem Aouar\Houssem-Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,30,1781,59,52.1,19.8,23,71,,7,21,1,1.97,48,27,21,1.06,0.13,49.1,25.9,23.2,1.17,0.19
148,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,34,1731,51,50.6,19.2,21,66,,13,27,2,1.21,24,25,-1,-0.05,0.53,24.8,22.9,2,0.1,0.22
149,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,22,1556,71,45.5,17.3,16,87,,6,28,13,1.14,27,27,0,0,0.39,25.1,28.2,-3.1,-0.18,0.04
150,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,1,26,26,0.8,0.3,0,,,1,26,8,3,1,1,0,0,-0.56,1.1,0.8,0.3,1.04,0.42
151,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,34,2983,88,87.2,33.1,33,89,,1,45,2,1.09,26,35,-9,-0.27,0.96,29,34.9,-5.9,-0.18,0.18
152,Aranda\Aranda,es ESP,MF,Granada,es La Liga,19,2000,0,,,,,0,,,0,,3,,,,,,,,,,,
153,Óscar Aranda\Oscar-Aranda,es ESP,FW,Real Madrid,es La Liga,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
154,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,21,1669,79,54.5,18.5,20,82,,1,21,2,1.19,21,24,-3,-0.16,-1.26,24.6,24,0.6,0.03,-0.37
155,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24,1996,28,1496,53,43.7,16.6,17,74,,11,21,2,2.18,33,6,27,1.62,0.97,23.7,10.6,13.1,0.79,0.31
156,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,33,2426,74,70.9,27,26,86,,7,29,3,1.39,35,38,-3,-0.11,-0.2,31.7,34.3,-2.6,-0.1,-0.17
157,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,21,1999,24,1510,63,44.2,16.8,16,80,,8,29,5,2.33,34,16,18,1.07,-0.29,34.5,15.6,18.9,1.12,0.16
158,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,34,2807,83,82.1,31.2,30,90,,4,27,0,0.79,23,46,-23,-0.74,-0.74,35.2,38.2,-3,-0.1,0.23
159,Roberto Olabe del Arco\Roberto-Olabe-del-Arco,es ESP,MF,Eibar,es La Liga,24,1996,0,,,,,0,,,0,,13,,,,,,,,,,,
160,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,3240,90,94.7,36,36,90,,0,,2,0.78,27,48,-21,-0.58,1.92,39.4,50,-10.6,-0.29,0.64
161,Simone Aresti\Simone-Aresti,it ITA,GK,Cagliari,it Serie A,34,1986,0,,,,,0,,,0,,35,,,,,,,,,,,
162,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1,90,90,2.9,1,1,90,,0,,0,1,1,1,0,0,-0.42,1.4,0.8,0.5,0.54,0.35
163,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,13,294,23,8.6,3.3,2,55,,11,17,5,0.92,3,9,-6,-1.84,-1.12,4.3,7.5,-3.2,-0.98,-0.4
164,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,4,47,12,1.4,0.5,0,,,4,12,12,0,0,1,-1,-1.91,-1.33,0.5,1.1,-0.6,-1.23,-1.11
165,Amir Arli\Amir-Arli,tr TUR,MF,Dijon,fr Ligue 1,17,2003,0,,,,,0,,,0,,5,,,,,,,,,,,
166,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,19,2001,1,5,5,0.1,0.1,0,,,1,5,22,0,0,0,0,0,-0.16,0,0.3,-0.3,-4.51,-4.84
167,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,28,1992,33,2764,84,80.8,30.7,32,86,,1,13,1,1.24,39,56,-17,-0.55,0,33.7,44.7,-11,-0.36,-0.23
168,Alex Arnofoli\Alex-Arnofoli,it ITA,DF,Bologna,it Serie A,17,2003,0,,,,,0,,,0,,3,,,,,,,,,,,
169,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,30,2585,86,84.5,28.7,30,86,,0,,0,1.87,53,30,23,0.8,0.61,43.2,33,10.2,0.36,0.89
170,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,10,112,11,3.7,1.2,0,,,10,11,7,0.6,3,4,-1,-0.8,-0.13,2,1.4,0.6,0.47,0.98
171,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,8,135,17,3.9,1.5,0,,,8,17,4,2.13,3,0,3,2,1.01,1.4,0.4,1,0.64,-0.03
172,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,585,84,17.1,6.5,6,90,,1,45,28,1.14,9,8,1,0.15,-0.51,10.8,9.2,1.7,0.26,-0.68
173,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,29,1990,30,1818,61,53.2,20.2,25,69,,5,19,3,1.2,23,20,3,0.15,1.22,23.8,23.1,0.6,0.03,0.58
174,Federico Artioli\Federico-Artioli,it ITA,MF,Sassuolo,it Serie A,19,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
175,Gabriele Artistico\Gabriele-Artistico,it ITA,FW,Parma,it Serie A,18,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
176,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DFMF,Cagliari,it Serie A,31,1988,9,224,25,6.5,2.5,1,90,,8,17,9,1.56,3,2,1,0.4,0.88,4.7,4.1,0.7,0.27,0.79
177,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,13,762,59,24.9,8.5,8,75,,5,33,7,1.38,7,9,-2,-0.24,0.12,8.6,12.8,-4.2,-0.49,-0.48
178,Raúl Asencio\Raul-Asencio,es ESP,FW,Genoa,it Serie A,22,1998,0,,,,,0,,,0,,1,,,,,,,,,,,
179,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,3240,90,94.7,36,36,90,,0,,2,1.61,58,40,18,0.5,1.5,55.5,41,14.5,0.4,0.44
180,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,24,1996,35,1869,53,54.6,20.8,21,71,,14,28,1,2.2,37,17,20,0.96,-0.14,31,22,9,0.44,-0.5
181,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,6,95,16,2.8,1.1,0,,,6,16,29,2.17,1,2,-1,-0.95,-0.92,1.2,2.3,-1.2,-1.1,-0.84
182,Joel Asoro\Joel-Asoro,se SWE,FW,Genoa,it Serie A,21,1999,0,,,,,0,,,0,,1,,,,,,,,,,,
183,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,33,2864,87,83.7,31.8,33,87,,0,,1,1.48,47,44,3,0.09,0.9,40,38.6,1.4,0.04,0.56
184,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,26,1993,17,828,49,24.2,9.2,11,63,,6,22,1,0.59,7,18,-11,-1.2,0.09,8.2,19.6,-11.4,-1.24,-0.13
185,Lorenz Assignon\Lorenz-Assignon,tg TOG,FW,Rennes,fr Ligue 1,20,2000,0,,,,,0,,,0,,7,,,,,,,,,,,
186,Ryan Astley\Ryan-Astley,wal WAL,DF,Everton,eng Premier League,18,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
187,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21,1999,12,838,70,24.5,9.3,9,87,,3,18,5,0.67,7,17,-10,-1.07,-0.62,9.3,9.3,0.1,0.01,0.19
188,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24,1996,18,956,53,28,10.6,13,66,,5,21,0,1.33,15,21,-6,-0.56,-0.67,12.1,17.6,-5.5,-0.52,-0.54
189,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,29,2332,80,68.2,25.9,26,87,,3,23,3,1.52,34,26,8,0.31,-0.35,34,30.3,3.7,0.14,-0.31
190,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,3330,90,97.4,37,37,90,,0,,1,1.32,49,54,-5,-0.14,-3.14,44.9,56.1,-11.2,-0.3,-0.89
191,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,37,3216,87,94,35.7,37,87,,0,,0,1.41,49,49,0,0,0.88,44.5,53.6,-9,-0.25,0.46
192,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,3,36,12,1.1,0.4,0,,,3,12,3,0.33,0,1,-1,-2.5,-2.31,0.2,0.3,-0.1,-0.22,-0.03
193,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,26,1994,23,1957,85,64,21.7,21,89,,2,45,1,0.83,21,34,-13,-0.6,0.05,21.3,33.6,-12.3,-0.56,-0.16
194,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,19,1605,84,46.9,17.8,19,84,,0,,6,1.53,35,22,13,0.73,0.23,23.2,24.1,-0.9,-0.05,-0.35
195,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31,1989,5,138,28,4,1.5,0,,,5,28,3,0.4,2,5,-3,-1.96,-0.91,0.6,4.9,-4.3,-2.79,-1.98
196,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,es La Liga,26,1994,8,202,25,5.9,2.2,2,63,,6,13,2,1.38,3,1,2,0.89,1.25,3,2.7,0.3,0.14,0.53
197,Lorenzo Avogadri\Lorenzo-Avogadri,it ITA,GK,Sampdoria,it Serie A,18,2001,0,,,,,0,,,0,,4,,,,,,,,,,,
198,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,21,1359,65,44.4,15.1,16,77,,5,26,1,1.48,22,17,5,0.33,0.23,20.1,18.4,1.7,0.11,-0.03
199,Unai Ayala\Unai-Ayala,es ESP,GK,Eibar,es La Liga,16,2004,0,,,,,0,,,0,,1,,,,,,,,,,,
200,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,6,500,83,16.3,5.6,6,83,,0,,2,1,5,10,-5,-0.9,1.07,5.3,8.8,-3.6,-0.64,0.68
201,Gaizka Ayesa\Gaizka-Ayesa,es ESP,GK,Real Sociedad,es La Liga,19,2001,0,,,,,0,,,0,,17,,,,,,,,,,,
202,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,28,1991,33,2096,64,61.3,23.3,23,84,,10,17,3,1.09,21,42,-21,-0.9,-0.63,15.4,36.5,-21.1,-0.91,-0.63
203,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,19,796,42,23.3,8.8,7,82,,12,19,14,2.05,13,7,6,0.68,0.61,13,12.9,0.1,0.01,-0.13
204,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,38,3399,89,99.4,37.8,38,89,,0,,0,1.55,62,54,8,0.21,0.21,56.5,62.6,-6.1,-0.16,-3.04
205,Miguel Azeez\Miguel-Azeez,eng ENG,MF,Arsenal,eng Premier League,17,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
206,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,27,1992,2,101,51,3,1.1,1,90,,1,11,9,1.5,1,6,-5,-4.46,-4.1,0.9,3.2,-2.2,-2,-1.67
207,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,26,2188,84,64,24.3,24,89,,2,26,12,1.92,39,20,19,0.78,0.56,40.7,18.7,22,0.91,0.24
208,Ousmane Ba\Ousmane-Ba,sn SEN,GK,Metz,fr Ligue 1,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,
209,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34,1986,7,296,42,8.7,3.3,3,81,,4,13,31,0.57,5,9,-4,-1.22,-0.87,4.9,8.1,-3.2,-0.97,-0.82
210,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,33,1986,23,786,34,23,8.7,9,62,,14,17,9,1.7,18,8,10,1.15,0.94,15.9,10.8,5,0.58,0.26
211,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,31,2610,84,76.3,29,29,89,,2,10,0,1.42,39,44,-5,-0.17,-0.84,40.6,37.6,3.1,0.11,-0.49
212,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,30,2408,80,70.4,26.8,29,83,,1,10,5,1.2,35,35,0,0,0.98,28.6,33,-4.4,-0.16,0.94
213,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,28,1992,30,2700,90,78.9,30,30,90,,0,,8,0.87,27,46,-19,-0.63,-0.38,22.7,49.4,-26.7,-0.89,-0.72
214,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19,2001,6,137,23,4,1.5,2,53,,4,8,32,1.67,0,2,-2,-1.31,-1.81,0.9,0.9,0,0.01,-0.38
215,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,20,2000,22,543,25,15.9,6,4,53,,18,18,16,1.36,6,13,-7,-1.16,-1.32,7.9,8.3,-0.3,-0.06,-0.01
216,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,30,1616,54,47.3,18,18,71,,12,28,0,1.07,18,28,-10,-0.56,-0.16,18.6,24.3,-5.6,-0.31,-0.14
217,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,22,1997,30,2141,71,70,23.8,25,82,,5,20,0,1.57,42,27,15,0.63,0.73,34,30.5,3.4,0.14,-0.19
218,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,12,916,76,26.8,10.2,10,90,,2,11,14,1.92,16,17,-1,-0.1,-1.18,14.7,14.2,0.4,0.04,-0.59
219,Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,27,1993,0,,,,,0,,,0,,2,,,,,,,,,,,
220,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,90,90,2.6,1,1,90,,0,,29,0,0,4,-4,-4,-3.78,0.5,2.4,-1.9,-1.86,-1.91
221,Abdoulaye Bakayoko\Abdoulaye-Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,2002,0,,,,,0,,,0,,1,,,,,,,,,,,
222,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,32,1964,61,57.4,21.8,23,81,,9,12,3,1.94,51,29,22,1.01,-0.41,40.5,26.2,14.3,0.66,-0.07
223,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,26,1694,65,49.5,18.8,18,84,,8,22,12,2.31,49,10,39,2.07,1.08,47.5,19.8,27.7,1.47,0.56
224,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,22,1998,32,2678,84,87.5,29.8,31,86,,1,19,0,1.84,58,36,22,0.74,0.27,44.7,37.5,7.3,0.24,0.21
225,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,180,90,5.9,2,2,90,,0,,0,0,2,7,-5,-2.5,-2.12,2.3,5.5,-3.2,-1.59,-1.57
226,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,17,2002,7,56,8,1.6,0.6,0,,,7,8,10,1.43,2,2,0,0,0.37,1.3,0.7,0.6,0.92,1.33
227,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,14,1198,86,35,13.3,13,89,,1,38,20,1.71,21,19,2,0.15,-0.38,16.5,19.9,-3.4,-0.25,-0.62
228,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,25,1995,25,1197,48,35,13.3,12,76,,13,22,3,1.56,16,20,-4,-0.3,-0.38,17.7,19.2,-1.5,-0.11,0.26
229,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,27,1993,32,2787,87,81.5,31,32,87,,0,,3,0.63,14,51,-37,-1.19,-0.34,25.1,53.8,-28.6,-0.93,-0.66
230,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31,1989,20,920,46,26.9,10.2,10,71,,10,21,10,1.45,21,12,9,0.88,0.38,16.4,10.4,6.1,0.59,0.63
231,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,23,1689,73,49.4,18.8,17,86,,6,39,14,1.17,18,23,-5,-0.27,-0.73,19.9,18.4,1.6,0.08,-0.26
232,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,21,1634,78,47.8,18.2,19,86,,2,3,15,1.62,24,24,0,0,-0.35,18.4,22.9,-4.4,-0.24,-0.55
233,Marco Ballarini\Marco-Ballarini,it ITA,MF,Udinese,it Serie A,19,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
234,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,23,1997,24,662,28,19.4,7.4,6,78,,18,11,9,2.13,16,16,0,0,-1.11,13.5,8.2,5.3,0.72,-0.21
235,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18,2002,3,165,55,4.8,1.8,1,90,,2,38,16,0.33,2,4,-2,-1.09,0.07,0.9,5.4,-4.5,-2.46,-2
236,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,30,1990,16,1347,84,39.4,15,16,84,,0,,15,1.25,15,25,-10,-0.67,-0.32,16.1,20.8,-4.7,-0.31,-0.12
237,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,24,1996,38,2985,79,87.3,33.2,34,85,,4,28,0,2.18,52,19,33,0.99,-0.66,42.4,22.8,19.7,0.59,-0.17
238,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,22,1997,15,1046,70,30.6,11.6,12,84,,3,12,17,1.6,18,15,3,0.26,0.49,12,16.6,-4.7,-0.4,-0.4
239,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,26,1993,38,3050,80,89.2,33.9,37,81,,1,45,0,1.55,51,50,1,0.03,-1.67,51.4,54.7,-3.3,-0.1,0.42
240,Abdoul Bane\Abdoul-Bane,it ITA,DF,Parma,it Serie A,19,2001,0,,,,,0,,,0,,2,,,,,,,,,,,
241,Cheick Bangoura\Cheick-Bangoura,gn GUI,FW,Brest,fr Ligue 1,18,2001,0,,,,,0,,,0,,1,,,,,,,,,,,
242,Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,26,1993,0,,,,,0,,,0,,2,,,,,,,,,,,
243,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,26,1993,11,921,84,26.9,10.2,10,88,,1,45,6,0.55,9,16,-7,-0.68,-0.54,8,15.7,-7.7,-0.75,-0.42
244,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,26,1993,15,1145,76,33.5,12.7,14,81,,1,13,2,0.4,17,30,-13,-1.02,0.2,17,18.5,-1.4,-0.11,0.68
245,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,23,1996,34,1372,40,40.1,15.2,12,76,,22,21,3,1.41,24,18,6,0.39,0.61,25.1,18,7.1,0.47,0.41
246,Jamal Baptiste\Jamal-Baptiste,eng ENG,DF,West Ham,eng Premier League,16,2003,0,,,,,0,,,0,,1,,,,,,,,,,,
