Rk,Player,Nation,Pos,Squad,Comp,Age,Born
158,Luke Ayling\Luke-Ayling,ENG,DF,Leeds United,eng Premier League,28,1991
159,Ramon Azeez\Ramon-Azeez,NGA,MFDF,Granada,es La Liga,27,1992
160,César Azpilicueta\Cesar-Azpilicueta,ESP,DF,Chelsea,eng Premier League,30,1989
161,Ludovic Baal\Ludovic-Baal,GUF,DF,Brest,fr Ligue 1,34,1986
162,Carlos Bacca\Carlos-Bacca,COL,FW,Villarreal,es La Liga,33,1986
163,Loïc Bade\Loic-Bade,FRA,DF,Lens,fr Ligue 1,20,2000
164,Milan Badelj\Milan-Badelj,CRO,MF,Genoa,it Serie A,31,1989
165,Édgar Badía\Edgar-Badia,ESP,GK,Elche,es La Liga,28,1992
166,Alex Baena\Alex-Baena,ESP,MF,Villarreal,es La Liga,19,2001
167,Miguel Baeza\Miguel-Baeza,ESP,MFFW,Celta Vigo,es La Liga,20,2000
168,Stéphane Bahoken\Stephane-Bahoken,CMR,FW,Angers,fr Ligue 1,28,1992
169,Leon Bailey\Leon-Bailey,JAM,FWMF,Leverkusen,de Bundesliga,22,1997
170,Eric Bailly\Eric-Bailly,CIV,DF,Manchester Utd,eng Premier League,26,1994
171,Stefan Bajic\Stefan-Bajic,FRA,GK,Saint-Étienne,fr Ligue 1,18,2001
172,Tiemoué Bakayoko\Tiemoue-Bakayoko,FRA,MF,Napoli,it Serie A,25,1994
173,Mitchel Bakker\Mitchel-Bakker,NED,DF,Paris S-G,fr Ligue 1,20,2000
174,Ridle Baku\Ridle-Baku,GER,FWDF,Wolfsburg,de Bundesliga,22,1998
175,Ridle Baku\Ridle-Baku,GER,DF,Mainz 05,de Bundesliga,22,1998
176,Dilane Bakwa\Dilane-Bakwa,FRA,FWMF,Bordeaux,fr Ligue 1,17,2002
177,Fabián Balbuena\Fabian-Balbuena,PAR,DF,West Ham,eng Premier League,28,1991
178,Keita Baldé\Keita-Balde,SEN,FW,Sampdoria,it Serie A,25,1995
179,George Baldock\George-Baldock,ENG,DF,Sheffield Utd,eng Premier League,27,1993
180,Gareth Bale\Gareth-Bale,WAL,FW,Tottenham,eng Premier League,31,1989
181,Mikel Balenziaga\Mikel-Balenziaga,ESP,DF,Athletic Club,es La Liga,32,1988
182,Leonardo Balerdi\Leonardo-Balerdi,ARG,DF,Marseille,fr Ligue 1,21,1999
183,Fodé Ballo-Touré\Fode-Ballo-Toure,SEN,DF,Monaco,fr Ligue 1,23,1997
184,Botond Balogh\Botond-Balogh,HUN,DF,Parma,it Serie A,18,2002
185,Abdoulaye Bamba\Abdoulaye-Bamba,CIV,DF,Angers,fr Ligue 1,30,1990
186,Jonathan Bamba\Jonathan-Bamba,FRA,MF,Lille,fr Ligue 1,24,1996
187,Robson Bambu\Robson-Bambu,BRA,DF,Nice,fr Ligue 1,22,1997
188,Patrick Bamford\Patrick-Bamford,ENG,FW,Leeds United,eng Premier League,26,1993
189,Mattia Bani\Mattia-Bani,ITA,DF,Genoa,it Serie A,26,1993
190,Mattia Bani\Mattia-Bani,ITA,DF,Parma,it Serie A,26,1993
191,Simon Banza\Simon-Banza,FRA,FW,Lens,fr Ligue 1,23,1996
192,Antonín Barák\Antonin-Barak,CZE,MFFW,Hellas Verona,it Serie A,25,1994
193,Federico Barba\Federico-Barba,ITA,DF,Benevento,it Serie A,26,1993
194,Danilo Barbosa\Danilo-Barbosa,BRA,DF,Nice,fr Ligue 1,24,1996
195,Barcia\Barcia,ESP,DF,Granada,es La Liga,19,2000
196,Melvin Bard\Melvin-Bard,FRA,DF,Lyon,fr Ligue 1,19,2000
197,Enis Bardhi\Enis-Bardhi,MKD,MF,Levante,es La Liga,25,1995
198,Phil Bardsley\Phil-Bardsley,SCO,DF,Burnley,eng Premier League,35,1985
199,Nicolò Barella\Nicolo-Barella,ITA,MF,Inter,it Serie A,23,1997
200,Philipp Bargfrede\Philipp-Bargfrede,GER,MF,Werder Bremen,de Bundesliga,31,1989
201,Kike Barja\Kike-Barja,ESP,MFFW,Osasuna,es La Liga,23,1997
202,Ross Barkley\Ross-Barkley,ENG,MF,Aston Villa,eng Premier League,26,1993
203,Ross Barkley\Ross-Barkley,ENG,MF,Chelsea,eng Premier League,26,1993
204,Aymen Barkok\Aymen-Barkok,MAR,FWMF,Eint Frankfurt,de Bundesliga,22,1998
205,Ashley Barnes\Ashley-Barnes,ENG,FW,Burnley,eng Premier League,30,1989
206,Harvey Barnes\Harvey-Barnes,ENG,FWMF,Leicester City,eng Premier League,22,1997
207,Marc Baró\Marc-Baro,ESP,DF,Cádiz,es La Liga,20,1999
208,Antonio Barragán\Antonio-Barragan,ESP,DF,Elche,es La Liga,33,1987
209,Antonio Barreca\Antonio-Barreca,ITA,DF,Fiorentina,it Serie A,25,1995
210,Leandro Barreiro Martins\Leandro-Barreiro-Martins,LUX,MF,Mainz 05,de Bundesliga,20,2000
211,Ander Barrenetxea\Ander-Barrenetxea,ESP,MFFW,Real Sociedad,es La Liga,18,2001
212,Jacob Barrett Laursen\Jacob-Barrett-Laursen,DEN,DF,Arminia,de Bundesliga,25,1994
213,Musa Barrow\Musa-Barrow,GAM,FWMF,Bologna,it Serie A,21,1998
214,Kyle Bartley\Kyle-Bartley,ENG,DF,West Brom,eng Premier League,29,1991
215,Paolo Bartolomei\Paolo-Bartolomei,ITA,MF,Spezia,it Serie A,30,1989
216,Marc Bartra\Marc-Bartra,ESP,DF,Betis,es La Liga,29,1991
217,Daniele Baselli\Daniele-Baselli,ITA,MF,Torino,it Serie A,28,1992
218,Chris Basham\Chris-Basham,ENG,DFMF,Sheffield Utd,eng Premier League,32,1988
219,Toma Bašić\Toma-Basic,CRO,MF,Bordeaux,fr Ligue 1,23,1996
220,Álvaro Bastida\Alvaro-Bastida,ESP,MF,Cádiz,es La Liga,16,2004
221,Alessandro Bastoni\Alessandro-Bastoni,ITA,DF,Inter,it Serie A,21,1999
222,Simone Bastoni\Simone-Bastoni,ITA,DF,Spezia,it Serie A,23,1996
223,Bastos\Bastos,ANG,DF,Lazio,it Serie A,29,1991
224,Michy Batshuayi\Michy-Batshuayi,BEL,FW,Crystal Palace,eng Premier League,26,1993
225,Rodrigo Battaglia\Rodrigo-Battaglia,ARG,MF,Alavés,es La Liga,29,1991
226,Cristian Battocchio\Cristian-Battocchio,ITA,MFFW,Brest,fr Ligue 1,28,1992
227,Oliver Baumann\Oliver-Baumann,GER,GK,Hoffenheim,de Bundesliga,30,1990
228,Julian Baumgartlinger\Julian-Baumgartlinger,AUT,MF,Leverkusen,de Bundesliga,32,1988
229,Christoph Baumgartner\Christoph-Baumgartner,AUT,MFFW,Hoffenheim,de Bundesliga,20,1999
230,Jon Bautista\Jon-Bautista,ESP,FWMF,Real Sociedad,es La Liga,25,1995
231,Paul Baysse\Paul-Baysse,FRA,DF,Bordeaux,fr Ligue 1,32,1988
232,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,NGA,FWMF,Augsburg,de Bundesliga,23,1996
233,Ihlas Bebou\Ihlas-Bebou,TOG,FW,Hoffenheim,de Bundesliga,26,1994
234,Rodrigo Becão\Rodrigo-Becao,BRA,DF,Udinese,it Serie A,24,1996
235,Sheraldo Becker\Sheraldo-Becker,SUR,FWMF,Union Berlin,de Bundesliga,25,1995
236,Timo Becker\Timo-Becker,GER,DF,Schalke 04,de Bundesliga,23,1997
237,Jan Bednarek\Jan-Bednarek,POL,DF,Southampton,eng Premier League,24,1996
238,Donny van de Beek\Donny-van-de-Beek,NED,MFFW,Manchester Utd,eng Premier League,23,1997
239,Valon Behrami\Valon-Behrami,SUI,MF,Genoa,it Serie A,35,1985
240,Brian Behrendt\Brian-Behrendt,GER,DF,Arminia,de Bundesliga,28,1991
241,Maximilian Beier\Maximilian-Beier,GER,FW,Hoffenheim,de Bundesliga,17,2002
242,Ishak Belfodil\Ishak-Belfodil,ALG,FW,Hoffenheim,de Bundesliga,28,1992
243,Erwan Belhadji\Erwan-Belhadji,FRA,MF,Dijon,fr Ligue 1,19,2001
244,Haris Belkebla\Haris-Belkebla,ALG,MF,Brest,fr Ligue 1,26,1994
245,Stefan Bell\Stefan-Bell,GER,DF,Mainz 05,de Bundesliga,28,1991
246,Karim Bellarabi\Karim-Bellarabi,GER,FWMF,Leverkusen,de Bundesliga,30,1990
247,Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,FRA,MFFW,Strasbourg,fr Ligue 1,22,1998
