Unnamed: 0,Playing Time,Playing Time.1,Playing Time.2,Playing Time.3
Rk,MP,Starts,Min,90s
1585,37,37,3330,37
1586,29,24,2180,24.2
1587,28,27,2392,26.6
1588,10,3,398,4.4
1589,17,17,1525,16.9
1590,10,1,212,2.4
1591,35,31,2810,31.2
1592,1,1,90,1
1593,7,4,321,3.6
1594,24,24,2109,23.4
1595,35,32,2691,29.9
1596,9,9,810,9
1597,30,27,2298,25.5
1598,13,10,825,9.2
1599,6,2,294,3.3
1600,19,11,1077,12
1601,23,13,1170,13
1602,8,2,229,2.5
1603,23,11,1177,13.1
1604,13,7,623,6.9
1605,1,1,78,0.9
1606,16,12,1050,11.7
1607,34,34,2907,32.3
1608,21,19,1672,18.6
1609,4,4,334,3.7
1610,24,17,1561,17.3
1611,34,33,3014,33.5
1612,33,30,2645,29.4
1613,25,17,1520,16.9
1614,8,5,514,5.7
1615,22,18,1451,16.1
1616,10,10,900,10
1617,21,20,1765,19.6
1618,16,5,513,5.7
1619,24,16,1432,15.9
1620,5,1,93,1
1621,9,3,269,3
1622,37,35,2965,32.9
1623,28,22,2089,23.2
1624,24,19,1742,19.4
1625,1,0,1,0
1626,25,24,2128,23.6
1627,21,18,1588,17.6
1628,33,26,2198,24.4
1629,22,17,1480,16.4
1630,19,17,1540,17.1
1631,5,3,262,2.9
1632,2,1,96,1.1
1633,12,6,482,5.4
1634,14,7,589,6.5
1635,21,15,1483,16.5
1636,38,38,3420,38
1637,28,28,2519,28
1638,13,6,460,5.1
1639,19,4,466,5.2
1640,1,1,90,1
1641,38,30,2561,28.5
1642,7,6,540,6
1643,23,20,1551,17.2
1644,36,33,2966,33
1645,9,2,200,2.2
1646,4,2,133,1.5
1647,24,21,1762,19.6
1648,30,30,2563,28.5
1649,25,25,2250,25
1650,18,7,757,8.4
1651,3,0,32,0.4
1652,12,12,1006,11.2
1653,33,23,2037,22.6
1654,9,6,509,5.7
1655,22,18,1594,17.7
1656,10,3,314,3.5
1657,7,2,221,2.5
1658,15,12,997,11.1
1659,20,12,1106,12.3
1660,10,9,691,7.7
1661,3,3,220,2.4
1662,1,0,13,0.1
1663,1,0,24,0.3
1664,9,3,352,3.9
1665,1,0,36,0.4
1666,33,29,2512,27.9
1667,26,2,502,5.6
1668,35,23,2030,22.6
1669,21,19,1463,16.3
1670,22,8,820,9.1
1671,31,18,1551,17.2
1672,2,0,23,0.3
1673,11,2,257,2.9
1674,2,1,56,0.6
1675,22,19,1642,18.2
1676,31,27,2380,26.4
1677,8,5,428,4.8
1678,21,15,1160,12.9
1679,32,28,2210,24.6
1680,18,17,1466,16.3
1681,23,12,1324,14.7
1682,30,30,2700,30
1683,16,10,821,9.1
1684,37,37,3330,37
1685,35,28,2397,26.6
1686,34,18,1702,18.9
1687,36,34,3069,34.1
1688,32,24,2129,23.7
1689,11,6,511,5.7
1690,24,23,2007,22.3
1691,16,7,639,7.1
