Unnamed: 0,Total,Total.1,Total.2,Total.3,Total.4,Short,Short.1,Short.2,Medium,Medium.1,Medium.2,Long,Long.1,Long.2,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
Rk,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog
32,1317,1599,82.4,22448,6842,627,682,91.9,532,636,83.6,121,214,56.5,3,4.6,-1.6,44,77,37,17,94
33,108,120,90,1889,330,47,52,90.4,48,50,96,10,13,76.9,0,0,0,1,12,0,0,7
34,266,336,79.2,4970,857,109,123,88.6,120,148,81.1,33,47,70.2,0,0.3,-0.3,4,16,2,0,16
35,15,20,75,180,23,8,10,80,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0
36,706,839,84.1,12961,2838,309,352,87.8,286,328,87.2,93,128,72.7,2,1.2,0.8,7,67,7,0,55
37,8,10,80,157,33,1,1,100,7,8,87.5,0,1,0,0,0,0,0,1,0,0,2
38,518,627,82.6,11583,3515,118,130,90.8,300,335,89.6,97,146,66.4,0,0.6,-0.6,2,36,2,0,39
39,1329,1711,77.7,25538,10322,526,584,90.1,617,717,86.1,170,354,48,1,1.4,-0.4,14,98,15,9,98
40,657,785,83.7,10835,3074,327,356,91.9,278,312,89.1,41,81,50.6,1,1,0,13,30,14,5,46
41,136,149,91.3,1873,750,90,92,97.8,36,43,83.7,4,6,66.7,1,0.4,0.6,4,1,4,3,12
42,705,948,74.4,15527,6592,198,232,85.3,364,445,81.8,137,255,53.7,0,0.3,-0.3,5,67,4,0,64
43,645,907,71.1,10718,1987,353,455,77.6,204,290,70.3,63,97,64.9,4,3.7,0.3,34,48,22,7,60
44,1949,2097,92.9,41126,12696,592,623,95,1029,1068,96.3,315,374,84.2,0,0.1,-0.1,2,150,4,0,128
45,233,349,66.8,4349,1848,98,115,85.2,101,148,68.2,29,74,39.2,0,0.3,-0.3,2,10,5,3,13
46,28,35,80,411,123,17,19,89.5,7,9,77.8,3,5,60,0,0,0,0,2,0,0,2
47,702,755,93,12873,3534,289,299,96.7,349,372,93.8,60,73,82.2,0,0,0,1,60,2,0,36
48,168,183,91.8,3248,590,59,64,92.2,83,86,96.5,22,28,78.6,0,0.4,-0.4,2,14,1,1,6
49,288,354,81.4,4897,953,150,175,85.7,106,124,85.5,25,34,73.5,1,0.9,0.1,12,17,8,0,28
50,606,737,82.2,12535,4237,188,213,88.3,320,349,91.7,91,156,58.3,0,0.4,-0.4,2,33,2,0,46
51,1916,2251,85.1,39628,12716,625,685,91.2,994,1097,90.6,282,420,67.1,4,2.3,1.7,25,232,37,4,189
52,726,912,79.6,12649,5072,343,382,89.8,302,359,84.1,67,127,52.8,2,1.2,0.8,5,62,11,1,65
53,14,16,87.5,289,41,3,3,100,8,9,88.9,2,2,100,0,0,0,0,1,0,0,0
54,239,315,75.9,3394,332,142,177,80.2,71,92,77.2,15,20,75,2,0.7,1.3,12,12,4,0,10
