Player,Nation,Pos,Squad,Born
Riccardo Saponara\Riccardo-Saponara,ITA,FW,Fiorentina,1991
Riccardo Saponara\Riccardo-Saponara,ITA,FWMF,Spezia,1991
Ivan Šaponjić\Ivan-Saponjic,SRB,FW,Cádiz,1997
Pablo Sarabia\Pablo-Sarabia,ESP,FWMF,Paris S-G,1992
Josh Sargent\Josh-Sargent,USA,FWMF,Werder Bremen,2000
Bouna Sarr\Bouna-Sarr,GUI,DF,Marseille,1992
Bouna Sarr\Bouna-Sarr,GUI,DF,Bayern Munich,1992
Sidy Sarr\Sidy-Sarr,SEN,MF,Nîmes,1996
Marco Sau\Marco-Sau,ITA,MFFW,Benevento,1987
Téji Savanier\Teji-Savanier,FRA,MF,Montpellier,1991
Stefan Savić\Stefan-Savic,MNE,DF,Atlético Madrid,1991
Romaine Sawyers\Romaine-Sawyers,SKN,MF,West Brom,1991
Gianluca Scamacca\Gianluca-Scamacca,ITA,FW,Genoa,1999
Dane Scarlett\Dane-Scarlett,ENG,FW,Tottenham,2004
Fabian Schär\Fabian-Schar,SUI,DF,Newcastle Utd,1991
Aurélien Scheidler\Aurelien-Scheidler,FRA,FW,Dijon,1998
Nicolás Schiappacasse\Nicolas-Schiappacasse,URU,MF,Sassuolo,1999
Pasquale Schiattarella\Pasquale-Schiattarella,ITA,MF,Benevento,1987
Patrik Schick\Patrik-Schick,CZE,FW,Leverkusen,1996
Sven Schipplock\Sven-Schipplock,GER,FWMF,Arminia,1988
Xaver Schlager\Xaver-Schlager,AUT,MF,Wolfsburg,1997
Keven Schlotterbeck\Keven-Schlotterbeck,GER,DF,Freiburg,1997
Nico Schlotterbeck\Nico-Schlotterbeck,GER,DF,Union Berlin,1999
Jeffrey Schlupp\Jeffrey-Schlupp,GHA,MF,Crystal Palace,1992
Kasper Schmeichel\Kasper-Schmeichel,DEN,GK,Leicester City,1986
Jonathan Schmid\Jonathan-Schmid,FRA,DFMF,Freiburg,1990
Romano Schmid\Romano-Schmid,AUT,FWMF,Werder Bremen,2000
Benno Schmitz\Benno-Schmitz,GER,DF,Köln,1994
Morgan Schneiderlin\Morgan-Schneiderlin,FRA,MF,Nice,1989
Alessandro Schöpf\Alessandro-Schopf,AUT,FWMF,Schalke 04,1994
Jerdy Schouten\Jerdy-Schouten,NED,MF,Bologna,1997
Nico Schulz\Nico-Schulz,GER,DF,Dortmund,1993
Alexander Schwolow\Alexander-Schwolow,GER,GK,Hertha BSC,1992
Christopher Scott\Christopher-Scott,GER,FWMF,Bayern Munich,2002
Matteo Scozzarella\Matteo-Scozzarella,ITA,MF,Parma,1988
Simone Scuffet\Simone-Scuffet,ITA,GK,Udinese,1996
Jacopo Segre\Jacopo-Segre,ITA,MF,Torino,1997
Davie Selke\Davie-Selke,GER,FW,Werder Bremen,1995
Malik Sellouki\Malik-Sellouki,FRA,FWMF,Nice,2000
Matz Sels\Matz-Sels,BEL,GK,Strasbourg,1992
Nélson Semedo\Nelson-Semedo,POR,DF,Wolves,1993
Léo Sena\Leo-Sena,BRA,MF,Spezia,1995
Stefano Sensi\Stefano-Sensi,ITA,MF,Inter,1995
Jaime Seoane\Jaime-Seoane,ESP,MF,Huesca,1997
Luigi Sepe\Luigi-Sepe,ITA,GK,Parma,1991
Suat Serdar\Suat-Serdar,GER,MF,Schalke 04,1997
Jean Seri\Jean-Seri,CIV,MF,Bordeaux,1991
Femi Seriki\Femi-Seriki,ENG,DF,Sheffield Utd,2002
Ryan Sessegnon\Ryan-Sessegnon,ENG,DF,Hoffenheim,2000
Nils Seufert\Nils-Seufert,GER,MFFW,Arminia,1997
Edgar Sevikyan\Edgar-Sevikyan,RUS,MF,Levante,2001
Stephan El Shaarawy\Stephan-El-Shaarawy,ITA,FWMF,Roma,1992
Jamie Shackleton\Jamie-Shackleton,ENG,MFDF,Leeds United,1999
Xherdan Shaqiri\Xherdan-Shaqiri,SUI,MFFW,Liverpool,1991
Billy Sharp\Billy-Sharp,ENG,FW,Sheffield Utd,1986
Luke Shaw\Luke-Shaw,ENG,DF,Manchester Utd,1995
Jonjo Shelvey\Jonjo-Shelvey,ENG,MF,Newcastle Utd,1992
Eldor Shomurodov\Eldor-Shomurodov,UZB,FW,Genoa,1995
Shola Shoretire\Shola-Shoretire,ENG,FW,Manchester Utd,2004
Mahame Siby\Mahame-Siby,FRA,MFFW,Strasbourg,1996
Abdoulaye Sidibé\Abdoulaye-Sidibe,FRA,MF,Saint-Étienne,2002
Djibril Sidibé\Djibril-Sidibe,FRA,DF,Monaco,1992
Sidnei\Sidnei,BRA,DF,Betis,1989
Kaj Sierhuis\Kaj-Sierhuis,NED,FW,Reims,1998
Tim Siersleben\Tim-Siersleben,GER,DF,Wolfsburg,2000
Gylfi Sigurðsson\Gylfi-Sigurdsson,ISL,MF,Everton,1989
Luca Siligardi\Luca-Siligardi,ITA,MF,Crotone,1988
Luca Siligardi\Luca-Siligardi,ITA,FW,Parma,1988
Adrien Silva\Adrien-Silva,POR,MF,Sampdoria,1989
André Silva\Andre-Silva,POR,FW,Eint Frankfurt,1995
Bernardo Silva\Bernardo-Silva,POR,MFFW,Manchester City,1994
Caio Henrique Oliveira Silva\Caio-Henrique-Oliveira-Silva,BRA,DF,Monaco,1997
David Silva\David-Silva,ESP,MF,Real Sociedad,1986
Fábio Silva\Fabio-Silva,POR,FW,Wolves,2002
Florent da Silva\Florent-da-Silva,FRA,FW,Lyon,2003
Gabriel Silva\Gabriel-Silva,BRA,DF,Saint-Étienne,1991
Gastón Silva\Gaston-Silva,URU,DF,Huesca,1994
Rui Silva\Rui-Silva,POR,GK,Granada,1994
Thiago Silva\Thiago-Silva,BRA,DF,Chelsea,1984
Marco Silvestri\Marco-Silvestri,ITA,GK,Hellas Verona,1991
Mohamed Simakan\Mohamed-Simakan,FRA,DF,Strasbourg,2000
Giovanni Simeone\Giovanni-Simeone,ARG,FW,Cagliari,1995
Moses Simon\Moses-Simon,NGA,FWMF,Nantes,1995
Unai Simón\Unai-Simon,ESP,GK,Athletic Club,1997
Xavi Simons\Xavi-Simons,NED,MF,Paris S-G,2003
Jóan Símun Edmundsson\Joan-Simun-Edmundsson,FRO,MFFW,Arminia,1991
Wilfried Singo\Wilfried-Singo,CIV,DF,Torino,2000
Daley Sinkgraven\Daley-Sinkgraven,NED,DF,Leverkusen,1995
Dimitris Siovas\Dimitris-Siovas,GRE,DF,Huesca,1988
Tobias Sippel\Tobias-Sippel,GER,GK,M'Gladbach,1988
Salvatore Sirigu\Salvatore-Sirigu,ITA,GK,Torino,1987
Issouf Sissokho\Issouf-Sissokho,MLI,MF,Bordeaux,2002
Ibrahima Sissoko\Ibrahima-Sissoko,FRA,MF,Strasbourg,1997
Moussa Sissoko\Moussa-Sissoko,FRA,MF,Tottenham,1989
Nelson Sissoko\Nelson-Sissoko,FRA,DF,Saint-Étienne,1997
Antonio Sivera\Antonio-Sivera,ESP,GK,Alavés,1996
Jacques Siwe\Jacques-Siwe,FRA,FW,Dijon,2001
Ellyes Skhiri\Ellyes-Skhiri,TUN,MF,Köln,1995
Łukasz Skorupski\Lukasz-Skorupski,POL,GK,Bologna,1991
Andreas Skov Olsen\Andreas-Skov-Olsen,DEN,FWDF,Bologna,1999
Robert Skov\Robert-Skov,DEN,FWDF,Hoffenheim,1996
Milan Škriniar\Milan-Skriniar,SVK,DF,Inter,1995
Steven Skrzybski\Steven-Skrzybski,GER,FWDF,Schalke 04,1992
Petar Škuletić\Petar-Skuletic,SRB,FWMF,Montpellier,1990
Islam Slimani\Islam-Slimani,ALG,FW,Leicester City,1988
Islam Slimani\Islam-Slimani,ALG,FW,Lyon,1988
William Smallbone\William-Smallbone,IRL,MF,Southampton,2000
Chris Smalling\Chris-Smalling,ENG,DF,Roma,1989
Emile Smith-Rowe\Emile-Smith-Rowe,ENG,MFFW,Arsenal,2000
Robert Snodgrass\Robert-Snodgrass,SCO,MFFW,West Brom,1987
Robert Snodgrass\Robert-Snodgrass,SCO,FWDF,West Ham,1987
Cédric Soares\Cedric-Soares,POR,DF,Arsenal,1991
Rafa Soares\Rafa-Soares,POR,DF,Eibar,1995
Rubén Sobrino\Ruben-Sobrino,ESP,MFFW,Valencia,1992
Rubén Sobrino\Ruben-Sobrino,ESP,FWMF,Cádiz,1992
Simon Sohm\Simon-Sohm,SUI,MF,Parma,2001
Augusto Solari\Augusto-Solari,ARG,MF,Celta Vigo,1992
Roberto Soldado\Roberto-Soldado,ESP,FW,Granada,1985
Carlos Soler\Carlos-Soler,ESP,MF,Valencia,1997
Yann Sommer\Yann-Sommer,SUI,GK,M'Gladbach,1988
Son\Son,ESP,DF,Levante,1994
Brandon Soppy\Brandon-Soppy,FRA,DF,Rennes,2002
David Soria\David-Soria,ESP,GK,Getafe,1993
Roberto Soriano\Roberto-Soriano,ITA,MF,Bologna,1991
Alberto Soro\Alberto-Soro,ESP,FWMF,Granada,1999
Borna Sosa\Borna-Sosa,CRO,DF,Stuttgart,1998
Hugo Sotelo\Hugo-Sotelo,ESP,MF,Celta Vigo,2003
Florian Sotoca\Florian-Sotoca,FRA,FW,Lens,1990
Riccardo Sottil\Riccardo-Sottil,ITA,MFFW,Cagliari,1999
Cheick Souaré\Cheick-Souare,FRA,MF,Marseille,2002
Tomáš Souček\Tomas-Soucek,CZE,MF,West Ham,1995
Rayan Souici\Rayan-Souici,FRA,DF,Saint-Étienne,1998
Cebio Soukou\Cebio-Soukou,BEN,FWMF,Arminia,1992
Adama Soumaoro\Adama-Soumaoro,FRA,DF,Bologna,1992
Adama Soumaoro\Adama-Soumaoro,FRA,DF,Lille,1992
Boubakary Soumaré\Boubakary-Soumare,FRA,MF,Lille,1999
Yaya Soumaré\Yaya-Soumare,FRA,FW,Lyon,2000
Arnaud Souquet\Arnaud-Souquet,FRA,DF,Montpellier,1992
Ansou Sow\Ansou-Sow,FRA,MF,Lens,2000
Djibril Sow\Djibril-Sow,SUI,MF,Eint Frankfurt,1997
Saidou Sow\Saidou-Sow,GUI,DF,Saint-Étienne,2002
Çağlar Söyüncü\Caglar-Soyuncu,TUR,DF,Leicester City,1996
Leonardo Spinazzola\Leonardo-Spinazzola,ITA,DF,Roma,1993
Marco Sportiello\Marco-Sportiello,ITA,GK,Atalanta,1992
Mattia Sprocati\Mattia-Sprocati,ITA,FW,Parma,1993
Jerry St. Juste\Jerry-St-Juste,NED,DF,Mainz 05,1996
Benjamin Stambouli\Benjamin-Stambouli,FRA,MFDF,Schalke 04,1990
Josip Stanišić\Josip-Stanisic,GER,DF,Bayern Munich,2000
Niklas Stark\Niklas-Stark,GER,DFMF,Hertha BSC,1995
Renato Steffen\Renato-Steffen,SUI,FWMF,Wolfsburg,1991
Zack Steffen\Zack-Steffen,USA,GK,Manchester City,1995
Pascal Stenzel\Pascal-Stenzel,GER,DF,Stuttgart,1996
Dale Stephens\Dale-Stephens,ENG,MF,Burnley,1989
Jack Stephens\Jack-Stephens,ENG,DF,Southampton,1994
Raheem Sterling\Raheem-Sterling,ENG,FW,Manchester City,1994
Enda Stevens\Enda-Stevens,IRL,DF,Sheffield Utd,1990
Lars Stindl\Lars-Stindl,GER,MFFW,M'Gladbach,1988
Kevin Stöger\Kevin-Stoger,AUT,MFFW,Mainz 05,1993
John Stones\John-Stones,ENG,DF,Manchester City,1994
Thomas Strakosha\Thomas-Strakosha,ALB,GK,Lazio,1995
Tobias Strobl\Tobias-Strobl,GER,MF,Augsburg,1990
Kevin Strootman\Kevin-Strootman,NED,MF,Genoa,1990
Kevin Strootman\Kevin-Strootman,NED,MF,Marseille,1990
Pascal Struijk\Pascal-Struijk,NED,DFMF,Leeds United,1999
Jens Stryger Larsen\Jens-Stryger-Larsen,DEN,DF,Udinese,1991
Stefano Sturaro\Stefano-Sturaro,ITA,MF,Hellas Verona,1993
Stefano Sturaro\Stefano-Sturaro,ITA,MF,Genoa,1993
Damián Suárez\Damian-Suarez,URU,DF,Getafe,1988
Denis Suárez\Denis-Suarez,ESP,MF,Celta Vigo,1994
Luis Suárez\Luis-Suarez,URU,FW,Atlético Madrid,1987
Marek Suchý\Marek-Suchy,CZE,DF,Augsburg,1988
Niklas Süle\Niklas-Sule,GER,DF,Bayern Munich,1995
Suso\Suso,ESP,FW,Sevilla,1993
Bosko Sutalo\Bosko-Sutalo,CRO,DF,Atalanta,2000
Mattias Svanberg\Mattias-Svanberg,SWE,MF,Bologna,1999
Abdoulaye Sylla\Abdoulaye-Sylla,GUI,DF,Nantes,2000
Issiaga Sylla\Issiaga-Sylla,GUI,DF,Lens,1994
Eddy Sylvestre\Eddy-Sylvestre,FRA,FWMF,Nice,1999
Ádám Szalai\Adam-Szalai,HUN,FW,Mainz 05,1987
Wojciech Szczęsny\Wojciech-Szczesny,POL,GK,Juventus,1990
Frederik Sørensen\Frederik-Sorensen,DEN,DF,Köln,1992
Alexander Sørloth\Alexander-Sorloth,NOR,FW,RB Leipzig,1995
Tachi\Tachi,ESP,DF,Alavés,1997
Jonathan Tah\Jonathan-Tah,GER,DF,Leverkusen,1996
Waniss Taibi\Waniss-Taibi,FRA,MF,Angers,2002
Flavien Tait\Flavien-Tait,FRA,MFFW,Rennes,1993
Adrien Tameze\Adrien-Tameze,CMR,MF,Hellas Verona,1994
Japhet Tanganga\Japhet-Tanganga,ENG,DF,Tottenham,1999
Renato Tapia\Renato-Tapia,PER,MF,Celta Vigo,1995
Edmond Tapsoba\Edmond-Tapsoba,BFA,DF,Leverkusen,1999
Matt Targett\Matt-Targett,ENG,DF,Aston Villa,1995
James Tarkowski\James-Tarkowski,ENG,DF,Burnley,1992
Ciprian Tătărușanu\Ciprian-Tatarusanu,ROU,GK,Milan,1986
Percy Tau\Percy-Tau,RSA,FWMF,Brighton,1994
Niklas Tauer\Niklas-Tauer,GER,MFDF,Mainz 05,2001
Heriberto Tavares\Heriberto-Tavares,POR,MFFW,Brest,1997
Sidnei Tavares\Sidnei-Tavares,POR,MF,Leicester City,2001
Tomás Tavares\Tomas-Tavares,POR,MFDF,Alavés,2001
Charlie Taylor\Charlie-Taylor,ENG,DF,Burnley,1993
Neil Taylor\Neil-Taylor,WAL,DF,Aston Villa,1989
Allan Tchaptchet\Allan-Tchaptchet,FRA,DF,Southampton,2001
Warren Tchimbembé\Warren-Tchimbembe,FRA,MFFW,Metz,1998
Aurélien Tchouaméni\Aurelien-Tchouameni,FRA,MF,Monaco,2000
Álvaro Tejero\Alvaro-Tejero,ESP,DF,Eibar,1996
Nathan Tella\Nathan-Tella,ENG,FWMF,Southampton,1999
Alex Telles\Alex-Telles,BRA,DF,Manchester Utd,1992
Andrés Tello\Andres-Tello,COL,DFMF,Benevento,1996
Cristian Tello\Cristian-Tello,ESP,FWMF,Betis,1991
Lino Tempelmann\Lino-Tempelmann,GER,MFDF,Freiburg,1999
Hidde ter Avest\Hidde-ter-Avest,NED,DF,Udinese,1997
Marc-André ter Stegen\Marc-Andre-ter-Stegen,GER,GK,Barcelona,1992
Pietro Terracciano\Pietro-Terracciano,ITA,GK,Fiorentina,1990
Martin Terrier\Martin-Terrier,FRA,FWMF,Rennes,1997
Claudio Terzi\Claudio-Terzi,ITA,DF,Spezia,1984
Kenny Tete\Kenny-Tete,NED,DF,Fulham,1995
Kenny Tete\Kenny-Tete,NED,DF,Lyon,1995
Cedric Teuchert\Cedric-Teuchert,GER,FWMF,Union Berlin,1997
Florian Thauvin\Florian-Thauvin,FRA,FWMF,Marseille,1993
Malick Thiaw\Malick-Thiaw,GER,DF,Schalke 04,2001
Jan Thielmann\Jan-Thielmann,GER,FWMF,Köln,2002
Sada Thioub\Sada-Thioub,SEN,FWMF,Angers,1995
William Thomas Fish\William-Thomas-Fish,ENG,DF,Manchester Utd,2003
Luke Thomas\Luke-Thomas,ENG,DF,Leicester City,2001
Romain Thomas\Romain-Thomas,FRA,DF,Angers,1988
Adrien Thomasson\Adrien-Thomasson,FRA,MF,Strasbourg,1993
Erik Thommy\Erik-Thommy,GER,DFFW,Stuttgart,1994
Morten Thorsby\Morten-Thorsby,NOR,MF,Sampdoria,1996
Marcus Thuram\Marcus-Thuram,FRA,FW,M'Gladbach,1997
Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,FRA,MF,Nice,2001
Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,SEN,MF,Metz,1999
Youri Tielemans\Youri-Tielemans,BEL,MF,Leicester City,1997
Kieran Tierney\Kieran-Tierney,SCO,DF,Arsenal,1997
Steffen Tigges\Steffen-Tigges,GER,FW,Dortmund,1998
Guus Til\Guus-Til,NED,FW,Freiburg,1997
David Timor\David-Timor,ESP,MFDF,Getafe,1989
Jean-Clair Todibo\Jean-Clair-Todibo,FRA,DF,Nice,1999
Karl Toko Ekambi\Karl-Toko-Ekambi,CMR,FW,Lyon,1992
Corentin Tolisso\Corentin-Tolisso,FRA,MF,Bayern Munich,1994
Jeremy Toljan\Jeremy-Toljan,GER,DF,Sassuolo,1994
Rafael Tolói\Rafael-Toloi,ITA,DF,Atalanta,1990
Takehiro Tomiyasu\Takehiro-Tomiyasu,JPN,DF,Bologna,1998
James Tomkins\James-Tomkins,ENG,DF,Crystal Palace,1989
Fikayo Tomori\Fikayo-Tomori,ENG,DF,Chelsea,1997
Fikayo Tomori\Fikayo-Tomori,ENG,DF,Milan,1997
Sandro Tonali\Sandro-Tonali,ITA,MF,Milan,2000
Lorenzo Tonelli\Lorenzo-Tonelli,ITA,DF,Sampdoria,1990
Toño\Tono,ESP,DF,Levante,1989
Ömer Toprak\Omer-Toprak,TUR,DF,Werder Bremen,1989
Tyron Tormin\Tyron-Tormin,FRA,MFFW,Saint-Étienne,2001
Ernesto Torregrossa\Ernesto-Torregrossa,ITA,FW,Sampdoria,1992
Lucas Torreira\Lucas-Torreira,URU,MFFW,Atlético Madrid,1996
Ferrán Torres\Ferran-Torres,ESP,FWMF,Manchester City,2000
Óliver Torres\Oliver-Torres,ESP,MFFW,Sevilla,1994
Pau Torres\Pau-Torres,ESP,DF,Villarreal,1997
Roberto Torres\Roberto-Torres,ESP,MFFW,Osasuna,1989
Lucas Torró\Lucas-Torro,ESP,MF,Osasuna,1994
Jordan Torunarigha\Jordan-Torunarigha,GER,DF,Hertha BSC,1997
Cenk Tosun\Cenk-Tosun,TUR,FW,Everton,1991
Abdoulaye Touré\Abdoulaye-Toure,FRA,MF,Nantes,1994
Almamy Touré\Almamy-Toure,MLI,DF,Eint Frankfurt,1996
Lucas Tousart\Lucas-Tousart,FRA,MF,Hertha BSC,1997
Andros Townsend\Andros-Townsend,ENG,MFFW,Crystal Palace,1991
Conor Townsend\Conor-Townsend,ENG,DF,West Brom,1993
Mattéo Tramoni\Matteo-Tramoni,FRA,FWMF,Cagliari,2000
Adama Traoré\Adama-Traore,ESP,FW,Wolves,1996
Amadou Traore\Amadou-Traore,FRA,MFFW,Bordeaux,2002
Bertrand Traoré\Bertrand-Traore,BFA,FW,Aston Villa,1995
Boubacar Traoré\Boubacar-Traore,MLI,MF,Metz,2001
Chaka Traorè\Chaka-Traore,CIV,DFFW,Parma,2004
Charles Traore\Charles-Traore,MLI,DF,Nantes,1992
Cheick Traoré\Cheick-Traore,MLI,DF,Lens,1995
Hamari Traoré\Hamari-Traore,MLI,DF,Rennes,1992
Ibrahima Traoré\Ibrahima-Traore,GUI,FWDF,M'Gladbach,1988
Ismaël Traoré\Ismael-Traore,CIV,DF,Angers,1986
Kevin Trapp\Kevin-Trapp,GER,GK,Eint Frankfurt,1990
Miguel Trauco\Miguel-Trauco,PER,DF,Saint-Étienne,1992
Trézéguet\Trezeguet,EGY,FW,Aston Villa,1994
Manu Trigueros\Manu-Trigueros,ESP,MF,Villarreal,1991
Christopher Trimmel\Christopher-Trimmel,AUT,DF,Union Berlin,1987
Francisco Trincão\Francisco-Trincao,POR,FWMF,Barcelona,1999
Alessandro Tripaldelli\Alessandro-Tripaldelli,ITA,DF,Cagliari,1999
Kieran Trippier\Kieran-Trippier,ENG,DF,Atlético Madrid,1990
Leandro Trossard\Leandro-Trossard,BEL,FWMF,Brighton,1994
Alexis Trouillet\Alexis-Trouillet,FRA,MF,Nice,2000
Adrien Truffert\Adrien-Truffert,FRA,DFMF,Rennes,2001
Marvin Tshibuabua\Marvin-Tshibuabua,FRA,DF,Saint-Étienne,2002
Kostas Tsimikas\Kostas-Tsimikas,GRE,DF,Liverpool,1996
Axel Tuanzebe\Axel-Tuanzebe,ENG,DF,Manchester Utd,1997
Alessandro Tuia\Alessandro-Tuia,ITA,DF,Benevento,1990
Ľubomír Tupta\Lubomir-Tupta,SVK,MF,Hellas Verona,1998
Tuta\Tuta,BRA,DF,Eint Frankfurt,1999
Iyenoma Udogie\Iyenoma-Udogie,ITA,DFMF,Hellas Verona,2002
Matthieu Udol\Matthieu-Udol,FRA,DF,Metz,1996
Naomichi Ueda\Naomichi-Ueda,JPN,DF,Nîmes,1994
Chimuanya Ugochukwu\Chimuanya-Ugochukwu,FRA,MF,Rennes,2004
Hwang Ui-jo\Hwang-Ui-jo,KOR,FWMF,Bordeaux,1992
Samir Ujkani\Samir-Ujkani,KVX,GK,Torino,1988
Samuel Umtiti\Samuel-Umtiti,FRA,DF,Barcelona,1993
Enes Ünal\Enes-Unal,TUR,FW,Getafe,1997
Cengiz Ünder\Cengiz-Under,TUR,MFFW,Leicester City,1997
Dayot Upamecano\Dayot-Upamecano,FRA,DF,RB Leipzig,1998
Kacper Urbanski\Kacper-Urbanski,POL,MF,Bologna,2004
Mark Uth\Mark-Uth,GER,FWMF,Schalke 04,1991
Tomáš Vaclík\Tomas-Vaclik,CZE,GK,Sevilla,1989
Eugeni Valderrama\Eugeni-Valderrama,ESP,FWMF,Huesca,1994
Lautaro Valenti\Lautaro-Valenti,ARG,DF,Parma,1999
Antoine Valerio\Antoine-Valerio,FRA,MF,Nîmes,1999
Borja Valero\Borja-Valero,ESP,MFFW,Fiorentina,1985
Yan Valery\Yan-Valery,FRA,DFMF,Southampton,1999
Jesús Vallejo\Jesus-Vallejo,ESP,DF,Granada,1997
Manu Vallejo\Manu-Vallejo,ESP,FW,Valencia,1997
Federico Valverde\Federico-Valverde,URU,MF,Real Madrid,1998
Raphaël Varane\Raphael-Varane,FRA,DF,Real Madrid,1993
Jamie Vardy\Jamie-Vardy,ENG,FW,Leicester City,1987
Ruben Vargas\Ruben-Vargas,SUI,MFFW,Augsburg,1998
Denis Vavro\Denis-Vavro,SVK,DF,Lazio,1996
Denis Vavro\Denis-Vavro,SVK,DF,Huesca,1996
Franco Vázquez\Franco-Vazquez,ARG,FWMF,Sevilla,1989
Kevin Vázquez\Kevin-Vazquez,ESP,DF,Celta Vigo,1993
Lucas Vázquez\Lucas-Vazquez,ESP,DFFW,Real Madrid,1991
Matías Vecino\Matias-Vecino,URU,MF,Inter,1991
Koke Vegas\Koke-Vegas,ESP,GK,Levante,1995
Gabriel Veiga\Gabriel-Veiga,ESP,MFDF,Celta Vigo,2002
Miloš Veljković\Milos-Veljkovic,SRB,DF,Werder Bremen,1995
Miguel Veloso\Miguel-Veloso,POR,MF,Hellas Verona,1986
Joël Veltman\Joel-Veltman,NED,DF,Brighton,1992
Unai Vencedor Paris\Unai-Vencedor-Paris,ESP,MF,Athletic Club,2000
Lorenzo Venuti\Lorenzo-Venuti,ITA,DF,Fiorentina,1995
Daniele Verde\Daniele-Verde,ITA,FW,Spezia,1996
Simone Verdi\Simone-Verdi,ITA,MFFW,Torino,1992
Gonzalo Verdú\Gonzalo-Verdu,ESP,DF,Elche,1988
Jordan Veretout\Jordan-Veretout,FRA,MF,Roma,1993
Edoardo Vergani\Edoardo-Vergani,ITA,FW,Bologna,2001
Marco Verratti\Marco-Verratti,ITA,MF,Paris S-G,1992
Valerio Verre\Valerio-Verre,ITA,MF,Sampdoria,1994
Mikel Vesga\Mikel-Vesga,ESP,MF,Athletic Club,1993
Jannik Vestergaard\Jannik-Vestergaard,DEN,DF,Southampton,1992
Rúben Vezo\Ruben-Vezo,POR,DF,Levante,1994
Guglielmo Vicario\Guglielmo-Vicario,ITA,GK,Cagliari,1996
Iñigo Vicente\Inigo-Vicente,ESP,FWMF,Athletic Club,1998
Fede Vico\Fede-Vico,ESP,MFFW,Granada,1994
Aleix Vidal\Aleix-Vidal,ESP,DF,Sevilla,1989
Arturo Vidal\Arturo-Vidal,CHI,MF,Inter,1987
Clément Vidal\Clement-Vidal,FRA,DF,Montpellier,2000
Nacho Vidal\Nacho-Vidal,ESP,DF,Osasuna,1995
Ronaldo Vieira\Ronaldo-Vieira,GNB,MF,Hellas Verona,1998
Luca Vignali\Luca-Vignali,ITA,DF,Spezia,1996
Emanuel Vignato\Emanuel-Vignato,ITA,FWMF,Bologna,2000
Toni Villa\Toni-Villa,ESP,MFFW,Valladolid,1995
Asier Villalibre\Asier-Villalibre,ESP,FW,Athletic Club,1997
Gonzalo Villar\Gonzalo-Villar,ESP,MF,Roma,1998
Iván Villar\Ivan-Villar,ESP,GK,Celta Vigo,1997
Rúben Vinagre\Ruben-Vinagre,POR,DF,Wolves,1999
Carlos Vinícius\Carlos-Vinicius,BRA,FW,Tottenham,1995
Nicolas Viola\Nicolas-Viola,ITA,MF,Benevento,1989
João Virgínia\Joao-Virginia,POR,GK,Everton,1999
Vitinha\Vitinha,POR,MF,Wolves,2000
Vitolo\Vitolo,ESP,MFFW,Atlético Madrid,1989
Dušan Vlahović\Dusan-Vlahovic,SRB,FW,Fiorentina,2000
Michel Vlap\Michel-Vlap,NED,MFFW,Arminia,1997
Andreas Voglsammer\Andreas-Voglsammer,GER,FWMF,Arminia,1992
Kevin Vogt\Kevin-Vogt,GER,DF,Hoffenheim,1991
Mërgim Vojvoda\Mergim-Vojvoda,KVX,DF,Torino,1995
Jake Vokins\Jake-Vokins,ENG,DF,Southampton,2000
Kevin Volland\Kevin-Volland,GER,FWMF,Monaco,1992
Stefan de Vrij\Stefan-de-Vrij,NED,DF,Inter,1992
Giacomo Vrioni\Giacomo-Vrioni,ALB,MF,Juventus,1998
Šime Vrsaljko\Sime-Vrsaljko,CRO,DF,Atlético Madrid,1992
Nikola Vukčević\Nikola-Vukcevic,MNE,MF,Levante,1991
Miloš Vulić\Milos-Vulic,SRB,MF,Crotone,1996
Matěj Vydra\Matej-Vydra,CZE,FW,Burnley,1992
Franklin Wadja\Franklin-Wadja,CMR,MF,Lorient,1995
Walace\Walace,BRA,MF,Udinese,1995
Theo Walcott\Theo-Walcott,ENG,MFFW,Southampton,1989
Theo Walcott\Theo-Walcott,ENG,FW,Everton,1989
Kyle Walker\Kyle-Walker,ENG,DF,Manchester City,1990
Kyle Walker-Peters\Kyle-Walker-Peters,ENG,DF,Southampton,1997
Sebastian Walukiewicz\Sebastian-Walukiewicz,POL,DF,Cagliari,2000
Silas Wamangituka\Silas-Wamangituka,COD,DFFW,Stuttgart,1999
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,ENG,DF,Manchester Utd,1997
Joel Ward\Joel-Ward,ENG,DF,Crystal Palace,1989
James Ward-Prowse\James-Ward-Prowse,ENG,MF,Southampton,1994
Daniel Wass\Daniel-Wass,DEN,MFDF,Valencia,1989
Ollie Watkins\Ollie-Watkins,ENG,FW,Aston Villa,1995
Caleb Watts\Caleb-Watts,AUS,MFFW,Southampton,2002
Timothy Weah\Timothy-Weah,USA,FWMF,Lille,2000
Adam Webster\Adam-Webster,ENG,DF,Brighton,1995
Wout Weghorst\Wout-Weghorst,NED,FW,Wolfsburg,1992
Mitchell Weiser\Mitchell-Weiser,GER,DF,Leverkusen,1994
Shon Weissman\Shon-Weissman,ISR,FW,Valladolid,1996
Danny Welbeck\Danny-Welbeck,ENG,FW,Brighton,1990
Wendell\Wendell,BRA,DF,Leverkusen,1993
