Player,Nation,Pos,Squad,Born
Ander Barrenetxea\Ander-Barrenetxea,ESP,MFFW,Real Sociedad,2001
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DEN,DF,Arminia,1994
Musa Barrow\Musa-Barrow,GAM,FWMF,Bologna,1998
Kyle Bartley\Kyle-Bartley,ENG,DF,West Brom,1991
Paolo Bartolomei\Paolo-Bartolomei,ITA,MF,Spezia,1989
Marc Bartra\Marc-Bartra,ESP,DF,Betis,1991
Daniele Baselli\Daniele-Baselli,ITA,MF,Torino,1992
Chris Basham\Chris-Basham,ENG,DFMF,Sheffield Utd,1988
Toma Bašić\Toma-Basic,CRO,MF,Bordeaux,1996
Álvaro Bastida\Alvaro-Bastida,ESP,MF,Cádiz,2004
Alessandro Bastoni\Alessandro-Bastoni,ITA,DF,Inter,1999
Simone Bastoni\Simone-Bastoni,ITA,DF,Spezia,1996
Bastos\Bastos,ANG,DF,Lazio,1991
Michy Batshuayi\Michy-Batshuayi,BEL,FW,Crystal Palace,1993
Rodrigo Battaglia\Rodrigo-Battaglia,ARG,MF,Alavés,1991
Cristian Battocchio\Cristian-Battocchio,ITA,MFFW,Brest,1992
Oliver Baumann\Oliver-Baumann,GER,GK,Hoffenheim,1990
Julian Baumgartlinger\Julian-Baumgartlinger,AUT,MF,Leverkusen,1988
Christoph Baumgartner\Christoph-Baumgartner,AUT,MFFW,Hoffenheim,1999
Jon Bautista\Jon-Bautista,ESP,FWMF,Real Sociedad,1995
Paul Baysse\Paul-Baysse,FRA,DF,Bordeaux,1988
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,NGA,FWMF,Augsburg,1996
Ihlas Bebou\Ihlas-Bebou,TOG,FW,Hoffenheim,1994
Rodrigo Becão\Rodrigo-Becao,BRA,DF,Udinese,1996
Sheraldo Becker\Sheraldo-Becker,SUR,FWMF,Union Berlin,1995
Timo Becker\Timo-Becker,GER,DF,Schalke 04,1997
Jan Bednarek\Jan-Bednarek,POL,DF,Southampton,1996
Donny van de Beek\Donny-van-de-Beek,NED,MFFW,Manchester Utd,1997
Valon Behrami\Valon-Behrami,SUI,MF,Genoa,1985
