Unnamed: 0,Tackles,Tackles.1,Tackles.2,Tackles.3,Tackles.4,Vs Dribbles,Vs Dribbles.1,Vs Dribbles.2,Vs Dribbles.3,Pressures,Pressures.1,Pressures.2,Pressures.3,Pressures.4,Pressures.5,Blocks,Blocks.1,Blocks.2,Blocks.3,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Rk,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
549,21,9,3,15,3,5,11,45.5,6,127,38,29.9,37,73,17,12,2,0,10,17,38,12,0
550,1,0,0,1,0,0,1,0,1,4,1,25,1,2,1,0,0,0,0,1,2,0,0
551,53,25,28,15,10,22,50,44,28,283,95,33.6,110,123,50,47,10,0,37,26,79,72,0
552,0,0,0,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,2,2
553,0,0,0,0,0,0,4,0,4,23,7,30.4,6,7,10,3,0,0,3,1,1,1,0
554,7,5,3,2,2,2,10,20,8,85,17,20,27,39,19,8,0,0,8,4,11,1,0
555,11,4,1,5,5,2,9,22.2,7,263,77,29.3,20,126,117,16,2,0,14,9,20,4,0
556,16,11,1,9,6,3,14,21.4,11,269,57,21.2,21,150,98,14,2,0,12,6,22,14,0
557,25,16,6,15,4,9,27,33.3,18,234,71,30.3,58,121,55,20,6,0,14,15,40,24,0
558,8,5,1,2,5,1,11,9.1,10,270,65,24.1,21,99,150,11,3,0,8,2,10,29,1
559,80,46,46,24,10,29,58,50,29,301,97,32.2,152,101,48,43,3,0,40,44,124,85,2
560,37,30,12,18,7,14,51,27.5,37,502,147,29.3,87,232,183,31,2,0,29,21,58,16,0
561,17,10,4,9,4,6,25,24,19,339,108,31.9,37,155,147,13,0,0,13,9,26,7,0
562,22,16,14,6,2,9,14,64.3,5,134,45,33.6,59,50,25,24,1,0,23,24,46,58,0
563,0,0,0,0,0,0,0,0,0,7,0,0,2,3,2,0,0,0,0,0,0,0,0
564,59,34,43,11,5,25,45,55.6,20,355,95,26.8,197,109,49,42,5,0,37,36,95,86,1
565,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,1
566,25,10,11,7,7,10,26,38.5,16,187,48,25.7,81,66,40,17,2,0,15,22,47,39,0
567,2,2,2,0,0,0,1,0,1,25,6,24,9,12,4,4,1,0,3,0,2,4,0
568,6,5,2,4,0,4,4,100,0,30,13,43.3,10,16,4,3,0,0,3,0,6,2,0
569,1,0,1,0,0,1,3,33.3,2,30,6,20,3,18,9,1,0,0,1,0,1,2,0
570,2,2,1,1,0,0,2,0,2,67,18,26.9,5,32,30,8,1,0,7,3,5,0,0
571,1,0,1,0,0,1,3,33.3,2,8,1,12.5,1,4,3,0,0,0,0,1,2,0,0
572,30,15,14,7,9,9,32,28.1,23,265,72,27.2,93,102,70,19,0,0,19,6,36,9,0
573,11,3,6,5,0,5,8,62.5,3,42,15,35.7,11,23,8,10,1,0,9,8,19,12,0
574,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,2,0,2,6,1,16.7,6,0,0,1,0,0,1,0,0,3,0
576,77,41,57,17,3,44,93,47.3,49,457,126,27.6,247,140,70,74,5,0,69,39,116,123,1
577,7,6,0,3,4,2,5,40,3,78,19,24.4,1,38,39,5,2,0,3,3,10,11,0
578,81,56,35,35,11,24,67,35.8,43,468,157,33.5,167,248,53,28,6,0,22,36,117,41,1
579,10,7,4,6,0,0,2,0,2,36,6,16.7,8,24,4,3,1,0,2,1,11,0,0
580,32,22,26,5,1,8,25,32,17,218,64,29.4,135,72,11,35,12,0,23,40,72,114,1
581,38,20,18,8,12,14,30,46.7,16,362,94,26,93,136,133,26,0,0,26,7,45,15,0
582,0,0,0,0,0,0,0,0,0,3,1,33.3,3,0,0,1,0,0,1,0,0,1,5
583,7,6,2,4,1,2,5,40,3,65,20,30.8,14,29,22,4,0,0,4,4,11,1,0
584,39,18,28,10,1,19,38,50,19,182,50,27.5,105,56,21,35,12,0,23,21,60,51,0
585,0,0,0,0,0,0,3,0,3,7,1,14.3,7,0,0,0,0,0,0,0,0,1,1
586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,31,13,15,14,2,14,34,41.2,20,230,67,29.1,122,90,18,48,14,0,34,36,67,99,0
588,43,27,31,9,3,10,28,35.7,18,238,71,29.8,131,94,13,27,14,0,13,35,78,77,1
589,38,31,17,18,3,8,26,30.8,18,375,108,28.8,133,172,70,29,9,0,20,34,72,76,2
590,2,1,1,1,0,1,1,100,0,12,1,8.3,3,7,2,1,0,0,1,0,2,0,0
591,33,17,16,15,2,18,32,56.3,14,228,65,28.5,103,92,33,48,6,1,42,10,43,59,1
592,42,21,24,13,5,14,40,35,26,287,84,29.3,134,93,60,35,2,0,33,31,73,22,1
593,81,62,32,39,10,35,86,40.7,51,667,232,34.8,295,320,52,42,10,0,32,57,138,32,1
594,0,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0
595,19,10,1,15,3,1,19,5.3,18,321,76,23.7,31,169,121,19,1,0,18,5,24,8,0
596,71,48,24,38,9,21,56,37.5,35,771,236,30.6,196,387,188,69,4,0,65,54,125,40,0
597,0,0,0,0,0,0,0,0,0,4,1,25,0,1,3,1,0,0,1,0,0,0,0
598,26,17,9,12,5,7,31,22.6,24,302,78,25.8,75,153,74,14,0,0,14,7,33,8,0
599,39,30,10,22,7,12,51,23.5,39,492,136,27.6,120,211,161,38,4,0,34,35,74,6,0
600,27,14,19,8,0,13,22,59.1,9,136,52,38.2,75,52,9,16,4,0,12,15,42,35,0
601,3,2,2,1,0,0,4,0,4,63,11,17.5,11,30,22,3,0,0,3,0,3,0,0
602,0,0,0,0,0,0,0,0,0,7,2,28.6,2,1,4,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0,28,6,21.4,3,11,14,0,0,0,0,1,1,0,0
604,10,6,7,3,0,2,6,33.3,4,69,18,26.1,33,30,6,13,6,0,7,3,13,11,2
605,63,37,41,21,1,20,43,46.5,23,272,108,39.7,164,103,5,41,10,0,31,38,101,144,0
606,15,7,6,5,4,7,19,36.8,12,161,39,24.2,70,59,32,25,3,0,22,12,27,33,0
607,16,11,6,8,2,6,13,46.2,7,93,34,36.6,32,48,13,13,7,0,6,6,22,16,0
608,29,18,19,8,2,12,24,50,12,167,67,40.1,90,72,5,29,16,1,13,40,69,161,1
609,15,8,9,4,2,6,17,35.3,11,181,52,28.7,59,93,29,15,2,0,13,14,29,18,0
610,12,8,5,4,3,4,15,26.7,11,188,60,31.9,21,91,76,10,1,0,9,6,18,5,0
611,26,13,6,15,5,11,25,44,14,209,66,31.6,66,89,54,33,6,1,27,12,38,26,0
612,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
613,36,24,12,20,4,11,38,28.9,27,296,82,27.7,83,172,41,31,7,0,24,21,57,14,0
614,1,1,0,1,0,0,0,0,0,7,1,14.3,0,7,0,0,0,0,0,0,1,0,0
615,79,52,46,28,5,29,99,29.3,70,587,190,32.4,223,279,85,55,3,0,52,59,138,55,1
616,37,17,26,9,2,23,37,62.2,14,180,38,21.1,98,61,21,26,5,0,21,18,55,54,0
