Unnamed: 0,Expected,Expected.1,Expected.2,Expected.3
Rk,xG,npxG,xA,npxG+xA
617,2.4,2.4,2.8,5.2
618,0.8,0.8,0.3,1
619,1.2,1.2,3.5,4.7
620,0.3,0.3,0,0.4
621,0,0,0,0
622,0.6,0.6,0.2,0.8
623,0,0,0.1,0.1
624,0.1,0.1,0,0.1
625,0.1,0.1,0.2,0.3
626,1.4,1.4,5.8,7.2
627,0,0,0,0
628,1.2,1.2,1.5,2.7
629,0,0,0,0
630,9.8,9.8,3.1,13
631,0.2,0.2,0.8,1
632,0.2,0.2,0.6,0.9
633,0.2,0.2,1,1.1
634,1,1,0.5,1.5
635,0,0,0,0
636,1.3,1.3,0,1.4
637,1.7,1.7,0,1.7
638,9.7,7.5,10.2,17.6
639,0.3,0.3,0,0.3
640,6.6,4.3,10,14.3
641,0,0,0,0
642,0.1,0.1,1.5,1.6
643,2.3,2.3,0.9,3.2
644,0,0,0.4,0.4
645,0.9,0.9,1,1.9
646,2.6,2.6,1.7,4.3
647,2.8,2.8,1.3,4.1
648,0.2,0.2,0.4,0.6
649,0.2,0.2,0.4,0.5
650,1.2,1.2,2.2,3.4
651,0,0,0,0
652,1.1,1.1,0.8,1.9
653,0.4,0.4,0.2,0.6
654,0,0,0,0
655,0.2,0.2,1.6,1.8
656,0,0,0,0
657,0.1,0.1,0,0.1
658,10.8,10.1,5.9,16
659,0,0,0.1,0.1
660,1,1,0,1.1
661,3.8,3.8,0.7,4.5
662,5.6,5.6,4.9,10.6
663,0.7,0.7,0.1,0.8
664,2.4,2.4,2.6,5
665,4.7,4.7,3.1,7.8
666,1.4,1.4,1.6,3
667,0.5,0.5,0,0.5
668,3.3,3.3,0.7,4
669,1.8,1.8,0.6,2.3
670,0.6,0.6,1.2,1.7
671,0,0,0,0
672,0.2,0.2,0.4,0.6
673,0.2,0.2,0.1,0.2
674,0,0,0.1,0.1
675,17.7,11.6,13.7,25.3
676,0,0,0,0
677,0.3,0.3,0.1,0.4
678,0,0,0,0
679,0,0,0,0
680,2.5,2.5,2.6,5
681,6.8,6.8,0.6,7.5
682,1.3,1.3,1.1,2.3
683,1.8,1.8,1.6,3.3
684,0,0,0.2,0.2
685,1.6,1.6,0.1,1.7
686,0.4,0.4,0,0.4
687,3.8,3.8,4.7,8.5
688,5.1,5.1,10.6,15.7
689,0,0,0,0
690,0.6,0.6,0,0.7
691,13.2,9.4,1.8,11.1
692,0.3,0.3,0.1,0.4
693,5.6,5.6,6.8,12.5
694,5,5,1.7,6.7
695,1.1,1.1,0,1.1
696,0.3,0.3,0.5,0.7
697,0,0,0.5,0.5
698,0,0,0.1,0.1
699,7.2,6.4,3.2,9.6
700,0.4,0.4,0.3,0.7
701,0.6,0.6,0.5,1.2
702,0,0,0.4,0.4
703,0,0,0,0
704,1.2,1.2,0.2,1.4
705,0.1,0.1,0.3,0.4
706,6,6,8.1,14.1
707,1.2,1.2,1,2.2
708,2.4,2.4,0.1,2.4
709,0.5,0.5,0.1,0.6
710,1.1,1.1,0.6,1.7
711,3.3,3.3,1.6,4.9
712,0.3,0.3,0.3,0.6
713,3.2,3.2,3,6.2
714,0.9,0.9,0.1,1
715,0,0,0,0
716,0.6,0.6,5.4,6
717,0.3,0.3,0,0.3
718,0,0,0.2,0.2
719,0.8,0.8,0.4,1.2
720,2.3,2.3,6.6,9
721,0,0,0,0
722,0.4,0.4,0.1,0.5
723,1,1,0.3,1.2
724,4.3,3.5,1.3,4.9
725,0.3,0.3,0,0.3
726,1.9,1.9,1.1,3
727,4.4,4.4,2.3,6.7
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,2.3,2.3,0.4,2.7
732,0,0,0.2,0.2
733,0.2,0.2,0.1,0.3
734,0.9,0.9,0.6,1.5
735,0.4,0.4,0.2,0.6
