Unnamed: 0,SCA,SCA.1,SCA Types,SCA Types.1,SCA Types.2,SCA Types.3,SCA Types.4,SCA Types.5,GCA,GCA.1,GCA Types,GCA Types.1,GCA Types.2,GCA Types.3,GCA Types.4,GCA Types.5
Rk,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
243,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244,34,1.12,28,1,2,1,2,0,2,0.07,1,0,0,0,1,0
245,6,0.43,4,1,0,0,0,1,2,0.14,1,1,0,0,0,0
246,30,3.38,20,0,8,2,0,0,1,0.11,0,0,0,1,0,0
247,44,1.9,23,3,6,4,5,3,8,0.35,4,0,0,1,3,0
248,41,1.77,37,1,0,2,1,0,7,0.3,6,0,0,0,1,0
249,41,2.17,34,0,1,1,3,2,7,0.37,7,0,0,0,0,0
250,111,3.46,52,1,13,11,28,6,17,0.53,6,0,1,3,6,1
251,23,1.48,19,1,2,1,0,0,1,0.06,1,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,68,3.59,31,17,12,4,3,1,8,0.42,2,3,2,0,1,0
254,1,12.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255,83,2.87,60,0,8,8,6,1,15,0.52,11,0,0,3,1,0
256,29,2.15,22,4,2,0,1,0,1,0.07,1,0,0,0,0,0
257,1,2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258,17,1.63,16,0,1,0,0,0,3,0.29,3,0,0,0,0,0
259,12,0.92,11,0,0,1,0,0,2,0.15,2,0,0,0,0,0
260,29,1.65,18,0,3,2,3,3,7,0.4,5,0,0,0,1,1
261,23,3.14,10,7,1,1,4,0,1,0.14,0,1,0,0,0,0
262,6,3.6,1,4,0,0,1,0,2,1.2,0,1,0,0,1,0
263,4,0.11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
264,31,1.05,23,7,0,1,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,1,1.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
267,2,1.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0
268,26,1.76,17,2,1,2,3,1,6,0.41,5,0,0,0,1,0
269,55,3.56,49,0,3,1,1,1,9,0.58,9,0,0,0,0,0
270,49,3.56,23,17,2,0,6,1,2,0.15,1,0,0,0,1,0
271,20,0.99,15,0,2,1,1,1,4,0.2,1,0,1,1,1,0
272,1,0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273,4,0.66,4,0,0,0,0,0,0,0,0,0,0,0,0,0
274,66,2.56,50,9,0,1,1,5,13,0.5,11,0,0,0,0,2
275,38,1.88,29,0,3,2,2,2,5,0.25,2,0,1,0,1,1
276,100,3.11,77,0,10,10,2,1,18,0.56,15,0,2,1,0,0
277,14,3.1,10,3,1,0,0,0,0,0,0,0,0,0,0,0
278,1,3.21,0,1,0,0,0,0,1,3.21,0,1,0,0,0,0
279,129,4.69,85,14,8,10,7,5,17,0.62,10,2,0,3,1,1
280,1,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0
281,42,2.25,35,1,2,0,3,1,6,0.32,5,0,0,0,1,0
282,2,1.37,1,0,1,0,0,0,1,0.69,1,0,0,0,0,0
283,80,3.16,53,14,5,1,5,2,13,0.51,8,1,1,0,1,2
284,24,0.83,20,1,2,0,1,0,0,0,0,0,0,0,0,0
285,26,1.72,21,1,0,1,2,1,0,0,0,0,0,0,0,0
286,24,1.93,20,0,2,1,0,1,1,0.08,0,0,0,1,0,0
287,33,2.46,24,1,0,2,5,1,6,0.45,3,0,0,1,1,1
288,51,2.79,44,7,0,0,0,0,6,0.33,4,2,0,0,0,0
289,17,3.36,15,0,1,0,1,0,1,0.2,1,0,0,0,0,0
290,40,3.7,21,14,2,0,3,0,5,0.46,5,0,0,0,0,0
291,4,1.75,2,0,0,2,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,3,1.39,3,0,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,33,1.14,21,10,0,0,1,1,3,0.1,2,0,0,0,0,1
297,20,2.93,16,1,1,1,0,1,3,0.44,3,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2,0.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10,3.33,10,0,0,0,0,0,2,0.67,2,0,0,0,0,0
301,2,1.96,2,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,8,0.47,5,1,1,0,0,1,1,0.06,1,0,0,0,0,0
304,16,1.16,12,0,1,1,1,1,3,0.22,2,0,0,0,0,1
